game_id,date,home_team,away_team,bet_type,bet_side,odds,line,bookmaker,model_prob,market_prob,edge,outcome,profit,stake
3267add7bc04a110d6596463f7c8a495,2026-01-01,Milwaukee Bucks,Washington Wizards,spread,home,-106,-10.5,lowvig,0.6053224665670428,0.5254021978266619,0.07992026874038094,win,94.33962264150944,100
3681cef1ff8c7de872f8f52134b3d101,2025-12-23,Golden State Warriors,Orlando Magic,spread,home,-105,-5.5,draftkings,0.5521957215476165,0.5218639762086777,0.030331745338938787,win,95.23809523809524,100
38c536954f1b21020fbae78711a00d28,2025-11-23,Dallas Mavericks,Memphis Grizzlies,spread,home,-101,-2.0,lowvig,0.5638134924722958,0.5207583456447789,0.04305514682751699,win,99.00990099009901,100
3b851b37fe204032efa750f6e6cde66e,2025-12-13,Philadelphia 76ers,Indiana Pacers,spread,away,-106,7.5,lowvig,0.5663182099213079,0.5268372419980654,0.039480967923242516,loss,-100.0,100
3bb98aa07fabd4fae0e83a62c2d5fb1a,2025-12-05,Washington Wizards,Boston Celtics,spread,home,102,8.5,draftkings,0.5740643045602905,0.5207136803888781,0.05335062417141234,win,102.0,100
3c6fdfc4cdc52040e342f68bae9a58ae,2025-12-12,New Orleans Pelicans,Portland Trail Blazers,spread,away,-106,-4.5,lowvig,0.5680892241673945,0.5237651980263567,0.04432402614103781,loss,-100.0,100
3cc5570a4f110817f256cde8b347c425,2025-12-02,Detroit Pistons,Atlanta Hawks,spread,away,-101,9.0,lowvig,0.5763424947930388,0.5253952104913164,0.05094728430172235,loss,-100.0,100
3e52c319a576ac5e8f500c83994ab307,2025-12-21,New York Knicks,Miami Heat,spread,home,-106,-8.0,lowvig,0.5609647394238533,0.5249366696851251,0.036028069738728186,loss,-100.0,100
3e9ff8cc7c27a9e791ef15809ccd4721,2025-11-12,Utah Jazz,Indiana Pacers,spread,away,-105,-2.5,draftkings,0.5679094002168986,0.5269841425393346,0.04092525767756405,loss,-100.0,100
3f7e2359b4a5532aafa274ff22714d51,2025-11-11,Charlotte Hornets,Los Angeles Lakers,spread,home,-106,7.5,fanduel,0.5736739250158034,0.5229279728788728,0.05074595213693056,loss,-100.0,100
415c0edd2d29e3c45faea27f50e436b7,2025-12-30,Brooklyn Nets,Golden State Warriors,spread,home,-104,3.5,lowvig,0.6145177616337829,0.522577687427221,0.09194007420656192,win,96.15384615384615,100
44417db5735da55048ecf34f53030b57,2025-12-12,Houston Rockets,Los Angeles Clippers,spread,home,100,-9.5,draftkings,0.6002544009506392,0.5225111068497952,0.07774329410084402,loss,-100.0,100
460ca5da65548d349cb007bdceb84163,2025-11-22,Golden State Warriors,Portland Trail Blazers,spread,away,-106,6.5,fanduel,0.5735703740981919,0.5227951328981418,0.05077524120005006,loss,-100.0,100
4805147770e2d0ce87d72688405a6594,2025-11-06,Los Angeles Lakers,San Antonio Spurs,spread,away,-105,2.5,williamhill_us,0.5727247186290236,0.5241177380893475,0.04860698053967616,win,95.23809523809524,100
487e7f4cbc287a6a3d1851600ff450ab,2025-11-16,Charlotte Hornets,Oklahoma City Thunder,spread,away,-105,-16.0,bovada,0.557933167280869,0.5227222454179417,0.03521092186292729,win,95.23809523809524,100
4ca0a40cec306fd9a3c9b36b1e76500e,2025-12-25,Oklahoma City Thunder,San Antonio Spurs,spread,home,-103,-10.0,lowvig,0.5530603853635851,0.5230108701309671,0.030049515232618007,win,97.08737864077669,100
4e5f1567c38f897e5cb4a4fa445d0f3c,2026-01-04,San Antonio Spurs,Portland Trail Blazers,spread,away,-102,8.5,draftkings,0.5786248767894666,0.5206070252050874,0.05801785158437922,win,98.0392156862745,100
4ea922e941f71ff0b977d5cb44ede892,2025-12-19,Oklahoma City Thunder,Los Angeles Clippers,spread,away,-106,17.5,lowvig,0.5804288470365351,0.5261529218016198,0.05427592523491531,loss,-100.0,100
4f2c935be086ffa25fd64dd8c312f5e8,2025-12-30,Toronto Raptors,Orlando Magic,spread,home,-101,1.0,lowvig,0.5569992371557513,0.5221850780334599,0.034814159122291355,loss,-100.0,100
571e505133f8b2d20c101c45437cffb9,2025-12-07,Minnesota Timberwolves,Los Angeles Clippers,spread,home,-102,-10.5,betmgm,0.6169469321605097,0.5234528276460814,0.0934941045144283,win,98.0392156862745,100
589f752da246a95b470aa39b60870dd7,2025-11-29,Charlotte Hornets,Chicago Bulls,spread,home,-106,3.5,lowvig,0.5581039962894347,0.5254617381425014,0.032642258146933334,loss,-100.0,100
5a11d709921a7ea69f44ff8926649124,2025-12-20,Cleveland Cavaliers,Chicago Bulls,spread,home,-103,-7.5,lowvig,0.5504607876177906,0.5174740948625728,0.03298669275521782,win,97.08737864077669,100
