date,home_team,away_team,bet_side,spread,adjusted_spread,actual_diff,won,pnl,bankroll,xgb_prob,mlp_prob,disagreement,year,confidence
2025-01-20,HOU,DET,home,-7.5,-8.0,-11,False,-10.0,594.4100000000047,0.969697,0.8021201413427562,0.16757685725343519,2025,0.9696969985961914
2025-01-22,HOU,CLE,home,-0.5,-1.0,1,False,-10.0,584.4100000000047,0.73812217,0.31690140845070425,0.42122075675239024,2025,0.7381221652030945
2025-02-01,HOU,BKN,away,-12.5,-12.0,-12,True,9.09,593.5000000000048,0.4413793,0.6993865030674846,0.2580071943669231,2025,0.5586206912994385
2025-02-21,HOU,MIN,away,-4.5,-4.0,6,False,-10.0,583.5000000000048,0.38043478,0.6108108108108108,0.23037602949786828,2025,0.6195652186870575
2025-02-25,HOU,MIL,home,-2.5,-3.0,3,False,-10.0,573.5000000000048,0.5675979,0.4160583941605839,0.1515395315024105,2025,0.5675979256629944
2025-03-10,HOU,ORL,home,-3.5,-4.0,13,True,9.09,582.5900000000048,0.9942857,0.7551020408163265,0.23918366188905682,2025,0.9942857027053833
2025-03-17,HOU,PHI,home,-16.5,-17.0,7,False,-10.0,572.5900000000048,0.9942857,0.8021201413427562,0.19216556136262708,2025,0.9942857027053833
2025-05-04,HOU,GSW,home,-2.5,-3.0,-14,False,-10.0,562.5900000000048,0.76455027,0.5098039215686274,0.2547463470814275,2025,0.7645502686500549
2022-10-22,IND,DET,away,-1.0,-0.5,9,False,-10.0,552.5900000000048,0.38043478,0.7551020408163265,0.374667259503384,2022,0.6195652186870575
2022-11-09,IND,DEN,away,5.0,5.5,-3,False,-10.0,542.5900000000048,0.15116279,0.5294117647058824,0.37824897643397837,2022,0.848837211728096
2022-11-21,IND,ORL,home,-7.0,-7.5,21,True,9.09,551.6800000000048,0.80263156,0.6108108108108108,0.19182074617695166,2022,0.8026315569877625
2022-11-23,IND,MIN,away,2.0,2.5,-14,True,9.09,560.7700000000049,0.38043478,0.5635359116022101,0.18310113028926756,2022,0.6195652186870575
2022-12-12,IND,MIA,home,3.5,3.0,-5,False,-10.0,550.7700000000049,0.5722543,0.36404494382022473,0.20820935629726794,2022,0.5722543001174927
2022-12-14,IND,GSW,away,1.5,2.0,6,False,-10.0,540.7700000000049,0.20634921,0.5635359116022101,0.35718670265121366,2022,0.7936507910490036
2022-12-18,IND,NYK,away,-1.0,-0.5,-3,True,9.09,549.8600000000049,0.032608695,0.6993865030674846,0.666777807739249,2022,0.9673913046717644
2023-01-08,IND,CHA,home,-5.5,-6.0,5,False,-10.0,539.8600000000049,0.8828829,0.6993865030674846,0.18349639001799511,2023,0.8828828930854797
2023-01-13,IND,ATL,away,3.5,4.0,-2,False,-10.0,529.8600000000049,0.27058825,0.6993865030674846,0.42879825409936023,2023,0.7294117510318756
2023-01-24,IND,CHI,away,1.5,2.0,6,False,-10.0,519.8600000000049,0.15116279,0.6993865030674846,0.5482237147955806,2023,0.848837211728096
2023-01-27,IND,MIL,home,6.5,6.0,-10,False,-10.0,509.8600000000049,0.64044946,0.48863636363636365,0.15181310068477283,2023,0.6404494643211365
2023-02-02,IND,LAL,away,2.5,3.0,-1,False,-10.0,499.8600000000049,0.06666667,0.4375,0.3708333298563957,2023,0.9333333298563957
2023-02-03,IND,SAC,away,1.5,2.0,3,False,-10.0,489.8600000000049,0.032608695,0.2,0.16739130467176438,2023,0.9673913046717644
2023-02-05,IND,CLE,away,4.5,5.0,-19,True,9.09,498.9500000000049,0.27058825,0.6108108108108108,0.3402225618426864,2023,0.7294117510318756
2023-02-10,IND,PHX,away,-2.5,-2.0,-13,True,9.09,508.04000000000485,0.38043478,0.6108108108108108,0.23037602949786828,2023,0.6195652186870575
2023-02-23,IND,BOS,away,7.5,8.0,-4,False,-10.0,498.04000000000485,0.04019505,0.36404494382022473,0.32384989223955724,2023,0.9598049484193325
2023-03-09,IND,HOU,home,-9.5,-10.0,9,False,-10.0,488.04000000000485,0.80263156,0.5635359116022101,0.2390956453855524,2023,0.8026315569877625
2023-03-29,IND,MIL,away,12.5,13.0,-13,False,-10.0,478.04000000000485,0.06666667,0.3076923076923077,0.24102563754870343,2023,0.9333333298563957
2023-10-30,IND,CHI,home,-3.5,-4.0,-7,False,-10.0,468.04000000000485,0.5722543,0.36404494382022473,0.20820935629726794,2023,0.5722543001174927
2023-11-03,IND,CLE,away,1.5,2.0,5,False,-10.0,458.04000000000485,0.27058825,0.5635359116022101,0.29294766263408567,2023,0.7294117510318756
2023-11-04,IND,CHA,home,-5.5,-6.0,-1,False,-10.0,448.04000000000485,0.76455027,0.48863636363636365,0.2759139050136913,2023,0.7645502686500549
2023-11-06,IND,SAS,away,-8.5,-8.0,41,False,-10.0,438.04000000000485,0.44444445,0.6470588235294118,0.2026143757735982,2023,0.5555555522441864
2023-11-19,IND,ORL,home,-4.5,-5.0,-12,False,-10.0,428.04000000000485,0.62650603,0.8211586901763224,0.19465265961678258,2023,0.6265060305595398
2023-11-24,IND,DET,away,-9.5,-9.0,23,False,-10.0,418.04000000000485,0.42276424,0.8211586901763224,0.3983944484809183,2023,0.577235758304596
2023-12-18,IND,LAC,away,3.5,4.0,-24,True,9.09,427.1300000000048,0.4117647,0.6575342465753425,0.24576953543375624,2023,0.5882352888584137
2024-01-10,IND,WAS,home,-8.5,-9.0,8,False,-10.0,417.1300000000048,0.986014,0.8211586901763224,0.16485531834571132,2024,0.9860140085220337
2024-01-23,IND,DEN,away,4.5,5.0,-5,False,-10.0,407.1300000000048,0.36226416,0.6575342465753425,0.2952700902337898,2024,0.6377358436584473
2024-01-25,IND,PHI,away,3.5,4.0,12,False,-10.0,397.1300000000048,0.42276424,0.6470588235294118,0.22429458183400774,2024,0.577235758304596
2024-02-02,IND,SAC,home,3.5,3.0,-11,False,-10.0,387.1300000000048,0.62085307,0.3524416135881104,0.2684114528562866,2024,0.620853066444397
2024-02-25,IND,DAL,home,2.5,2.0,22,True,9.09,396.2200000000048,0.58928573,0.3870967741935484,0.20218895712206442,2024,0.5892857313156128
2024-02-26,IND,TOR,home,-5.5,-6.0,-8,False,-10.0,386.2200000000048,0.857971,0.6575342465753425,0.20043676601697313,2024,0.8579710125923157
2024-04-01,IND,BKN,home,-12.5,-13.0,22,True,9.09,395.3100000000048,0.999,0.8392857142857143,0.15971429858888897,2024,0.9990000128746033
